game_id,platform_id,sales_units_in_millions
3538,XOne,0.53
3538,PS3,0.25
3538,X360,0.6
3538,PS4,0.39
3538,WiiU,0.73
3538,Wii,2.01
13694,PC,0.36
27483,3DS,1.13
2047,XOne,0.22
2047,PS4,0.52
2047,PC,0.03
42941,PS3,0.25
42941,X360,0.2
42941,3DS,0.13
3532,PS2,1.86
3532,PS3,1.13
6773,XOne,1.14
3255,PS4,0.24
842,XOne,5.27
842,PS4,7.66
842,X360,4.29
842,PS3,4.36
842,PC,0.41
27518,3DS,0.27
27505,WiiU,0.31
6620,XOne,0.18
3515,PC,0.06
3515,PS3,0.58
3515,PS4,0.75
3515,XOne,0.14
3515,X360,0.14
857,XOne,3.23
3511,X360,0.06
3511,PS3,0.09
23767,WiiU,1.19
1090,PS4,0.02
42455,PC,0.47
3423,PSV,0.03
3423,XOne,0.09
3423,X360,0.03
3423,PS3,0.09
3423,PS4,0.11
3497,PC,0.63
3497,X360,0.9
3497,PS4,4.04
3497,XOne,1.63
3497,PS3,1.29
3496,PS3,0.07
3496,X360,0.07
6591,PS4,0.02
6591,XOne,0.01
28559,PS3,0.6
28559,PC,0.73
28559,XOne,0.93
28559,X360,0.53
28559,PS4,2.01
3495,3DS,0.08
3495,X360,0.06
3501,PS3,0.63
3501,PS4,1.91
3489,X360,0.22
3489,PC,0.16
3489,XOne,0.64
3489,PS4,1.72
3474,PS4,0.09
3474,PC,0.02
2968,PSP,0.14
2968,PSV,0.07
12929,PS4,0.03
9501,PC,0.43
1391,PS4,0.06
1391,XOne,0.02
3459,PS4,1.74
2510,PSV,0.04
3121,PS3,0.56
3121,PS4,0.4
42215,PC,0.2
42215,XOne,1.29
42215,PS4,2.09
19687,PC,0.02
3439,PS4,0.4
3439,XOne,0.13
3439,PC,0.04
11043,PSP,0.12
11043,Wii,0.15
40931,PS4,0.01
3433,XOne,0.64
3433,PC,0.19
3433,PS4,0.96
23771,3DS,3.89
23768,3DS,2.34
2386,PS4,0.07
2386,WiiU,0.01
27557,WiiU,0.52
10261,PC,0.01
13331,GC,0.27
13331,XB,0.14
13331,PS2,0.65
13331,GBA,0.7
3416,PS4,0.2
3416,XOne,0.11
10065,PC,0.14
27572,3DS,0.21
27981,WiiU,1.58
3388,PS4,0.88
3388,XOne,0.43
3395,3DS,0.21
3395,PSV,0.11
3387,PS4,2.48
3057,PSV,0.36
3057,PS4,0.25
3057,PS3,0.1
15829,PC,0.02
27581,3DS,0.42
9920,PC,0.01
108,PS4,2.78
108,PC,0.05
108,XOne,1.38
2412,PS4,0.01
3346,XOne,0.15
3346,PC,0.09
3346,PS4,0.43
3336,XOne,0.26
3336,PS4,1.09
3336,PC,0.13
3328,PS4,3.97
3328,XOne,1.31
3328,PC,0.72
3311,PS2,0.03
23935,WiiU,4.43
27612,GBA,0.59
3294,XOne,0.65
3294,PS4,0.9
3294,X360,0.87
3294,PS3,0.85
3294,3DS,0.62
3294,WiiU,0.52
3294,PC,0.04
3294,PSV,0.22
3287,PS4,3.95
3287,PC,0.13
3287,XOne,1.49
2382,PS3,0.05
2382,XOne,0.03
2382,PS4,0.17
42957,PS3,0.02
42957,PC,0.02
42957,PS4,0.13
21242,PS,0.16
16893,PC,0.03
2665,PS3,0.02
2665,PSV,0.03
2665,PS4,0.03
3272,XOne,0.24
3272,PS4,0.37
3272,PC,0.06
3251,PC,0.05
3251,PS4,0.66
3251,XOne,0.25
3243,PS4,0.03
3243,WiiU,0.01
2479,PSV,0.04
7613,XOne,0.79
331090,PSV,0.04
3228,PS4,0.07
3228,XOne,0.06
3204,PS3,0.78
3204,XOne,2.42
3204,X360,0.97
3204,PS4,3.24
43242,XOne,3.28
3209,PS4,1.66
3192,XOne,0.75
3192,PS3,0.64
3192,X360,0.18
3192,PC,0.08
3192,PS4,3.41
42952,PC,0.01
